actual_data,error,left_motor_powers,right_motor_powers
2207,-36,43,57
2155,16,56,44
2128,43,54,45
2097,74,56,43
2107,64,52,47
2133,38,49,50
2117,54,54,45
2091,80,56,43
2112,59,50,49
2025,146,66,34
2066,105,51,48
2023,148,61,38
1923,248,72,27
1864,307,71,28
1782,389,77,22
1730,441,77,22
1681,490,79,20
1664,507,77,22
1639,532,79,20
1660,511,73,26
1718,453,66,33
1750,421,67,32
1791,380,64,35
1840,331,61,38
1906,265,56,43
1931,240,59,40
1893,278,67,32
1889,282,64,35
1861,310,68,31
1774,397,78,21
1551,620,100,-3
577,1594,100,-100
887,1284,83,16
930,1241,100,-7
979,1192,100,-4
1110,1061,89,10
997,1174,100,-20
999,1172,100,-8
997,1174,100,-8
1042,1129,100,-1
997,1174,100,-13
1381,790,51,48
1280,891,100,-4
1192,979,100,-7
1181,990,100,0
1145,1026,100,-4
1090,1081,100,-9
1232,939,82,17
1123,1048,100,-13
1381,790,63,36
1159,1012,100,-22
1385,786,66,33
1207,964,100,-16
1495,676,55,45
1819,352,35,64
1913,258,53,46
1797,374,80,19
1930,241,48,51
2088,83,38,61
1979,192,70,29
1950,221,63,36
1909,262,67,32
1176,995,100,-73
1397,774,66,33
2172,-1,-27,100
2043,128,69,30
1684,487,100,-10
2148,23,4,95
1975,196,77,22
2024,147,52,47
2091,80,47,52
2148,23,45,54
2110,61,56,43
2088,83,56,43
1910,261,80,19
1910,261,63,36
1912,259,62,37
1793,378,80,19
2128,43,18,81
2732,-561,-38,100
2560,-389,47,52
2067,104,100,-4
2039,132,59,40
2021,150,59,40
1926,245,71,28
1841,330,75,25
1866,305,62,37
2684,-513,-57,100
2917,-746,-10,100
2911,-740,13,86
2911,-740,13,87
2909,-738,13,86
2910,-739,12,87
2911,-740,12,87
2912,-741,12,87
2912,-741,12,87
2911,-740,13,86
2761,-590,35,64
1751,420,100,-72
1622,549,90,9
2234,-63,-14,100
2829,-658,-42,100
1660,511,100,-92
2277,-106,-16,100
1631,540,100,-41
2136,35,1,98
1852,319,94,5
2911,-740,-92,100
2910,-739,13,86
2564,-393,64,35
2061,110,100,-5
2063,108,55,44
1975,196,68,31
2060,111,47,52
2111,60,47,52
2066,105,59,40
2001,170,65,35
1925,246,69,30
1933,238,61,38
1937,234,61,38
1932,239,62,37
1885,286,69,31
1864,307,67,32
1777,394,78,21
1731,440,76,23
1649,522,84,15
1660,511,74,25
1720,451,66,33
1749,422,68,31
1812,359,61,38
1844,327,63,36
1743,428,81,18
1794,377,63,36
1780,391,70,29
1774,397,70,29
1714,457,78,21
1624,547,86,13
1394,777,100,-11
671,1500,100,-97
894,1277,91,8
925,1246,100,-9
922,1249,100,-12
1123,1048,82,17
1457,714,52,47
1680,491,52,47
1647,524,79,20
1668,503,73,26
1635,536,80,19
1576,595,85,14
1727,444,57,42
